nomeEmpresa;setorEconomico;ANO_MES;MarketCap_USD_MM;CAGR_ReceitaLiquida;CAGR_EBITDA;MargemEBITDA;MultiploEV_EBITDA;MultiploP_E
Suzano (SUZB3);Papel e Celulose;2025_04;8500;5.0;6.0;35.0;6.5;8.0
Klabin (KLBN11);Papel e Celulose;2025_04;6500;4.5;5.5;33.0;6.0;7.5
Irani (RANI3);Papel e Celulose;2025_04;1800;3.5;4.0;30.0;5.5;7.0
Eucatex (EUCA4);Papel e Celulose;2025_04;1200;3.0;3.5;28.0;5.0;6.5
Melhoramentos (MSPA4);Papel e Celulose;2025_04;800;2.5;3.0;25.0;4.5;6.0
Vale (VALE3);Mineração;2025_04;60000;6.0;7.0;40.0;5.0;6.5
CSN Mineração (CMIN3);Mineração;2025_04;10000;5.5;6.5;38.0;4.8;6.2
Aura Minerals (AURA33);Mineração;2025_04;1500;4.0;5.0;35.0;4.5;6.0
MMX Mineração (MMXM3);Mineração;2025_04;500;2.0;2.5;20.0;3.5;5.0
Ferbasa (FESA4);Mineração;2025_04;1000;3.5;4.0;30.0;4.0;5.5
JBS (JBSS3);Alimentos;2025_04;15000;5.0;6.0;25.0;6.0;7.0
BRF (BRFS3);Alimentos;2025_04;10000;4.5;5.5;23.0;5.5;6.5
Marfrig (MRFG3);Alimentos;2025_04;8000;4.0;5.0;22.0;5.0;6.0
Minerva (BEEF3);Alimentos;2025_04;5000;3.5;4.5;20.0;4.5;5.5
M. Dias Branco (MDIA3);Alimentos;2025_04;3000;3.0;4.0;18.0;4.0;5.0
