ticker;NomeEmpresa;RazaoSocial;Setor;SubSetor
AALR3;ALLIAR;CENTRO DE IMAGEM DIAGNOSTICOS S.A.;Serv.Méd.Hospit. Análises e Diagnósticos;Serv.Méd.Hospit. Análises e Diagnósticos
ABCB3;ABC Brasil;BANCO ABC BRASIL S/A;Intermediários Financeiros;Bancos
ABCB4;ABC Brasil;BANCO ABC BRASIL S/A;Intermediários Financeiros;Bancos
ABEV3;AMBEV S/A;AMBEV S.A.;Bebidas;Cervejas e Refrigerantes
ABRE3;SOMOS EDUCA;SOMOS EDUCAÇÃO S.A.;Outros;Outros
ABYA3;ABYARA;ABYARA PLANEJAMENTO IMOBILIARIO S.A.;Construção Civil;Incorporações
ACES3;ARCELORMITTAL INOX BRASIL;ARCELORMITTAL INOX BRASIL S.A.;Siderurgia e Metalurgia;Siderurgia
ACES4;ARCELORMITTAL INOX BRASIL;ARCELORMITTAL INOX BRASIL S.A.;Siderurgia e Metalurgia;Siderurgia
ADHM3;ADVANCED-DH;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.;Outros;NA
AEDU11;ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA;ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A;Diversos;Serviços Educacionais
AEDU3;ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA;ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A;Diversos;Serviços Educacionais
AELP3;AES ELPA;AES ELPA SA;Energia Elétrica;Energia Elétrica
AERI3;AERIS;AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A;Máquinas e Equipamentos;Máq. e Equip. Industriais
AESB3;AES BRASIL;AES BRASIL ENERGIA S.A.;Energia Elétrica;Energia Elétrica
AESL3;AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.;AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.;Energia Elétrica;Energia Elétrica
AESL4;AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.;AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.;Energia Elétrica;Energia Elétrica
AFLT3;AFLUENTE T;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;Energia Elétrica;Energia Elétrica
AFLU3;AFLUENTE;AFLUENTE GER.E TRANSM.ENERG.ELETR. S.A.;Energia Elétrica;Energia Elétrica
AFLU5;AFLUENTE;AFLUENTE GER.E TRANSM.ENERG.ELETR. S.A.;Energia Elétrica;Energia Elétrica
AGEI3;AGRE EMP IMOB;AGRE EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Construção Civil;Incorporações
AGEN33;Agrenco;AGRENCO LTD.;Comércio e Distribuição;Alimentos
AGIN3;Agra Incorp;AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A;Construção Civil;Incorporações
AGRO3;BRASILAGRO;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Agropecuária;Agricultura
AGXY3;AGROGALAXY;AGROGALAXY PARTICIPAÇÕES S.A.;Agropecuária;Agricultura
AHEB3;PARQUE ANHEMBI;SAO PAULO TURISMO S.A.;Viagens e Lazer;Produção de Eventos e Shows
AHEB5;PARQUE ANHEMBI;SAO PAULO TURISMO S.A.;Viagens e Lazer;Produção de Eventos e Shows
AHEB6;PARQUE ANHEMBI;SAO PAULO TURISMO S.A.;Viagens e Lazer;Produção de Eventos e Shows
ALBA3;DANA-ALBARUS S/A INDÚSTRIA E COMÉRCIO;DANA-ALBARUS S.A. INDÚSTRIA E COMÉRCIO;Outros;NA
ALLD3;ALLIED;ALLIED TECNOLOGIA S.A.;Comércio;Eletrodomésticos
ALLL11;RUMO S.A.;RUMO S.A.;Transporte;Transporte Ferroviário
ALLL3;RUMO S.A.;RUMO S.A.;Transporte;Transporte Ferroviário
ALLL4;RUMO S.A.;RUMO S.A.;Transporte;Transporte Ferroviário
ALOS3;ALLOS;ALLOS S.A.;Exploração de Imóveis;Exploração de Imóveis
ALPA3;ALPARGATAS;SAO PAULO ALPARGATAS SA;Tecidos, Vestuário e Calçados;Calçados
ALPA4;ALPARGATAS;SAO PAULO ALPARGATAS SA;Tecidos, Vestuário e Calçados;Calçados
ALPK3;ESTAPAR;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A;Serviços Diversos;Serviços Diversos
ALSC3;ALIANSCE;ALIANSCE SHOPPING CENTERS S.A.;Exploração de Imóveis;Exploração de Imóveis
ALSO3;ALLOS;ALLOS S.A.;Outros;Outros
ALUP11;ALUPAR;ALUPAR INVESTIMENTOS S/A;Energia Elétrica;Energia Elétrica
ALUP3;ALUPAR;ALUPAR INVESTIMENTOS S/A;Energia Elétrica;Energia Elétrica
ALUP4;ALUPAR;ALUPAR INVESTIMENTOS S/A;Energia Elétrica;Energia Elétrica
AMAR3;LOJAS MARISA;MARISA LOJAS S.A.;Comércio;Tecidos, Vestuário e Calçados
AMBP3;AMBIPAR;AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A;Água e Saneamento;Água e Saneamento
AMBV3;AMBEV;COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV;Outros;NA
AMBV4;AMBEV;COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV;Outros;NA
AMER3;AMERICANAS;AMERICANAS S.A;Comércio;Produtos Diversos
AMIL3;AMIL;AMIL PARTICIPAÇÕES S/A;Serv.Méd.Hospit. Análises e Diagnósticos;Serv.Méd.Hospit. Análises e Diagnósticos
AMOB3;AUTOMOB;AUTOMOB PARTICIPAÇÕES S.A.;Automóveis e Motocicletas;Automóveis e Motocicletas
AMPI3;AMPLA INVEST;AMPLA INVESTIMENTOS E SERVICOS S.A.;Energia Elétrica;Energia Elétrica
ANIM3;ANIMA;GAEC EDUCAÇÃO S.A.;Diversos;Serviços Educacionais
AORE3;ADVANCED-DH;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.;Outros;Outros
APER3;ALPER S.A.;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;Previdência e Seguros;Corretoras de Seguros
APTI4;ALIPERTI;SIDERURGICA J L ALIPERTI SA;Agropecuária;Agricultura
ARCE3;BELGO;COMPANHIA SIDERÚRGICA BELGO-MINEIRA;Outros;NA
ARCZ3;ARACRUZ CELULOSE SA;ARACRUZ CELULOSE S/A;Madeira e Papel;Papel e Celulose
ARCZ6;ARACRUZ CELULOSE SA;ARACRUZ CELULOSE S/A;Madeira e Papel;Papel e Celulose
ARLA3;ARTHUR LANGE;ARTHUR LANGE SA IND E COM;Outros;NA
ARLA4;ARTHUR LANGE;ARTHUR LANGE SA IND E COM;Outros;NA
ARML3;ARMAC;ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.;Diversos;Aluguel de carros
ARPS3;DOUAT CIA TEXTIL;DOUAT CIA TEXTIL;Outros;NA
ARPS4;DOUAT CIA TEXTIL;DOUAT CIA TEXTIL;Outros;NA
ARTE3;KUALA S.A.;KUALA SA;Outros;NA
ARTE4;KUALA S.A.;KUALA SA;Outros;NA
ARTR3;ARTERIS;ARTERIS S.A.;Transporte;Exploração de Rodovias
ARZZ3;AZZAS 2154;AZZAS 2154 S.A.;Outros;Outros
ASAI3;ASSAI;SENDAS DISTRIBUIDORA S.A.;Comércio e Distribuição;Alimentos
ASSM3;HOTEIS ELDORADO;COMPANHIA ELDORADO DE HOTEIS;Outros;NA
ASSM4;HOTEIS ELDORADO;COMPANHIA ELDORADO DE HOTEIS;Outros;NA
ASTA4;SANTISTA TÊXTIL S.A.;SANTISTA TEXTIL SA;Outros;NA
ATED3;ATOM EDUC;ATOM EDUCAÇÃO E EDITORA S.A.;Diversos;Serviços Educacionais
ATMP3;ATMASA;ATMA PARTICIPAÇÕES S.A.;Serviços Diversos;Serviços Diversos
ATOM3;FICTORALIMEN;FICTOR ALIMENTOS S.A;Outros;Outros
AURA32;AURA 360;AURA MINERALS INC.;Outros;Outros
AURA33;AURA 360;AURA MINERALS INC.;Mineração;Minerais Metálicos
AURE3;AUREN;AUREN ENERGIA S.A.;Energia Elétrica;Energia Elétrica
AUTM3;AUTOMETAL;AUTOMETAL S.A.;Material de Transporte;Material Rodoviário
AVIL3;ACOS VILLARES;AÇOS VILLARES SA;Siderurgia e Metalurgia;Siderurgia
AVLL3;ALPHAVILLE;ALPHAVILLE S.A.;Construção Civil;Incorporações
